category,glass_name,nasal_engraving,glass_index,material,glass_supplier_id,glass_supplier_name,image_engraving
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Bifocal 1,74",B14,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Morpho 1,74",MPH4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Sensation 1,74",SEN4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation",Proximit,PRX4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation",D,DET4,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Premier 1,67",PRE7,1.67,MR10,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Bifocal 1,5",BI5,1.5,CR39,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Bifocal 1,6",BI6,1.61,MR8,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Bifocal 1,67",BI7,1.67,MR10,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""",Proximit,PRX5,1.5,CR39,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""",Proximit,PRX6,1.61,MR8,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""",Proximit,PRX7,1.67,MR10,2399,ADN OPTIS,
